,attributes_tischtennisplatten,geometry,lat,lon
133,1,POINT (7.076337071444391 50.88942135219988),50.88942135219988,7.076337071444391
140,1,POINT (7.061170602687654 50.88452301509729),50.88452301509729,7.061170602687654
141,1,POINT (7.068139976049437 50.88873264788937),50.88873264788937,7.068139976049437
145,1,POINT (7.079525526666955 50.896818645150184),50.896818645150184,7.079525526666955
151,1,POINT (6.836331825337072 50.949144307160005),50.949144307160005,6.836331825337072
157,1,POINT (6.820174376205992 50.94476455214562),50.94476455214562,6.820174376205992
158,1,POINT (6.82044112004632 50.949437544064224),50.949437544064224,6.82044112004632
159,1,POINT (6.8182745688982695 50.947725214569196),50.947725214569196,6.8182745688982695
163,2,POINT (6.830183800228445 50.95438344464658),50.95438344464658,6.830183800228445
164,1,POINT (6.835411738249054 50.96968299337737),50.96968299337737,6.835411738249054
165,1,POINT (6.826484519308591 50.9686111629038),50.9686111629038,6.826484519308591
167,2,POINT (6.83919050720187 50.96798055982466),50.96798055982466,6.83919050720187
169,1,POINT (6.826362166227351 50.962423200651905),50.962423200651905,6.826362166227351
170,1,POINT (6.827041844875853 50.961295287069824),50.961295287069824,6.827041844875853
171,2,POINT (6.874803895752329 50.95424069893142),50.95424069893142,6.874803895752329
172,1,POINT (6.886224898299647 50.95914760332848),50.95914760332848,6.886224898299647
182,1,POINT (6.829980472798527 50.94567238061668),50.94567238061668,6.829980472798527
183,1,POINT (6.8666053029744925 50.9769735418015),50.9769735418015,6.8666053029744925
187,2,POINT (6.902418386104589 50.96902711226012),50.96902711226012,6.902418386104589
188,1,POINT (6.906725602135839 50.96553868558688),50.96553868558688,6.906725602135839
189,1,POINT (6.913374579824289 50.96979318358544),50.96979318358544,6.913374579824289
195,1,POINT (6.901790761005992 50.971864383468066),50.971864383468066,6.901790761005992
196,2,POINT (6.944591220852243 50.95797736684695),50.95797736684695,6.944591220852243
200,1,POINT (6.911854671674708 50.955698075974304),50.955698075974304,6.911854671674708
202,1,POINT (6.912012840533992 50.954845281681436),50.954845281681436,6.912012840533992
203,1,POINT (6.916270350237456 50.95226340224016),50.95226340224016,6.916270350237456
205,4,POINT (6.9041184867350625 50.95396297893867),50.95396297893867,6.9041184867350625
206,1,POINT (6.9088749301349806 50.95971761687926),50.95971761687926,6.9088749301349806
208,3,POINT (6.91164458434008 50.95314724094622),50.95314724094622,6.91164458434008
212,1,POINT (6.922397843199886 50.95128660862362),50.95128660862362,6.922397843199886
213,1,POINT (6.923367050319163 50.95094816796196),50.95094816796196,6.923367050319163
214,1,POINT (6.921364134808639 50.94926243664676),50.94926243664676,6.921364134808639
215,2,POINT (6.928474203334761 50.94799957648873),50.94799957648873,6.928474203334761
218,1,POINT (6.9142996001060455 50.94518023982921),50.94518023982921,6.9142996001060455
219,1,POINT (6.917435188911791 50.94620680492766),50.94620680492766,6.917435188911791
220,1,POINT (6.921426612702231 50.944609980809524),50.944609980809524,6.921426612702231
222,1,POINT (6.916079680298419 50.96685745619489),50.96685745619489,6.916079680298419
228,1,POINT (6.922003256358752 50.96113579733085),50.96113579733085,6.922003256358752
229,1,POINT (6.9190896903835055 50.95713740293732),50.95713740293732,6.9190896903835055
230,1,POINT (6.931985107891762 50.95408750374257),50.95408750374257,6.931985107891762
233,2,POINT (6.893626866331526 50.96869950978569),50.96869950978569,6.893626866331526
234,1,POINT (6.897554988815392 50.96393787542246),50.96393787542246,6.897554988815392
237,1,POINT (6.896959990575429 50.96128259039043),50.96128259039043,6.896959990575429
238,1,POINT (6.892362477546019 50.96268780047504),50.96268780047504,6.892362477546019
241,1,POINT (6.873115108866535 50.962248287354306),50.962248287354306,6.873115108866535
242,2,POINT (6.922746492291708 50.9145606859916),50.9145606859916,6.922746492291708
244,2,POINT (6.922480781991004 50.919228865714494),50.919228865714494,6.922480781991004
245,1,POINT (6.9196756415832334 50.9101028915171),50.9101028915171,6.9196756415832334
246,1,POINT (6.91652262684676 50.91292415252881),50.91292415252881,6.91652262684676
247,1,POINT (6.915727818057345 50.916888201020434),50.916888201020434,6.915727818057345
249,1,POINT (6.906755071351104 50.91546758445834),50.91546758445834,6.906755071351104
252,1,POINT (6.918909305188593 50.91691751083576),50.91691751083576,6.918909305188593
257,1,POINT (6.911965062767657 50.93108189709359),50.93108189709359,6.911965062767657
259,1,POINT (6.908480987435089 50.92028433977809),50.92028433977809,6.908480987435089
260,1,POINT (6.912652791427827 50.92290979562363),50.92290979562363,6.912652791427827
261,1,POINT (6.906912343332889 50.92162074986242),50.92162074986242,6.906912343332889
262,1,POINT (6.898811880002776 50.93148561629514),50.93148561629514,6.898811880002776
263,1,POINT (6.90667894557846 50.927423102304466),50.927423102304466,6.90667894557846
